t,linear,sine,noisy_sine,quadratic,exponential
0.0,2.00,15.00,14.78,5.00,20.00
0.5,2.75,18.89,18.63,4.08,19.02
1.0,3.50,22.17,22.01,3.30,18.10
1.5,4.25,24.32,25.37,2.67,17.21
2.0,5.00,25.00,24.80,2.20,16.37
2.5,5.75,24.09,21.85,1.88,15.58
3.0,6.50,21.75,22.25,1.70,14.82
3.5,7.25,18.35,17.95,1.67,14.09
4.0,8.00,14.42,14.09,1.80,13.41
4.5,8.75,10.57,10.75,2.08,12.75
5.0,9.50,7.43,7.78,2.50,12.13
5.5,10.25,5.48,7.23,3.07,11.54
6.0,11.00,5.04,6.02,3.80,10.98
6.5,11.75,6.17,6.33,4.67,10.44
7.0,12.50,8.69,7.58,5.70,9.93
7.5,13.25,12.21,10.68,6.88,9.45
8.0,14.00,16.17,16.54,8.20,8.99
8.5,14.75,19.94,21.91,9.68,8.55
9.0,15.50,22.94,23.00,11.30,8.13
9.5,16.25,24.68,24.52,13.07,7.73
10.0,17.00,24.89,25.69,15.00,7.36
10.5,17.75,23.55,21.37,17.07,7.00
11.0,18.50,20.85,20.38,19.30,6.66
11.5,19.25,17.23,17.96,21.67,6.33
12.0,20.00,13.26,14.57,24.20,6.02
12.5,20.75,9.56,9.20,26.88,5.73
13.0,21.50,6.72,7.29,29.70,5.45
13.5,22.25,5.19,5.56,32.67,5.18
14.0,23.00,5.21,6.38,35.80,4.93
14.5,23.75,6.77,5.10,39.07,4.69
15.0,24.50,9.63,10.49,42.50,4.46
15.5,25.25,13.34,11.07,46.08,4.24
16.0,26.00,17.32,13.39,49.80,4.04
16.5,26.75,20.92,20.01,53.67,3.84
17.0,27.50,23.59,22.22,57.70,3.65
17.5,28.25,24.91,26.22,61.88,3.48
18.0,29.00,24.66,25.65,66.20,3.31
18.5,29.75,22.88,21.05,70.67,3.14
19.0,30.50,19.86,21.14,75.30,2.99
19.5,31.25,16.08,14.57,80.08,2.85
